question,answer
라면 추천해줘ㅠㅠ,정말 멋진 선택이에요! 꾸준히 하면 분명 결과가 있을 거예요.
혹시 배구 잘 하고 싶어ㅠㅠ,좋은 도전이에요! 최선을 다해보세요. 응원해요!
오늘도 배우 시작했어ㅠㅠ,관심을 갖고 계시는군요! 어떤 점이 궁금하세요?
요즘 크레페 공부중이야 정말,정말요! 더 이야기해주세요 😊
많이 화나,힘든 감정을 느끼는 건 자연스러운 일이에요. 곁에 있을게요.
나 마케터 진짜 재미있어?,관심을 갖고 계시는군요! 어떤 점이 궁금하세요?
갑자기 크레페 포기했어요,정말요! 더 이야기해주세요 😊
마카롱 너무 어려워ㅠㅠ,처음엔 누구나 그렇게 느껴요. 천천히 해봐요!
사진 해봤어요,관심을 갖고 계시는군요! 어떤 점이 궁금하세요?
드럼 어려워,드럼은(는) 처음엔 어렵지만 꾸준히 하면 늘어요! 포기하지 마세요!
원래 색소폰 언제부터 했어요,흥미롭네요! 더 자세히 이야기해봐요.
혹시 뉴욕 배우고 싶어ㅎㅎ,처음엔 누구나 그렇게 느껴요. 천천히 해봐요!
기자 힘들더,기자 생활이 힘드시군요. 어떤 점이 가장 힘드세요?
어제 즐거워,행복한 순간을 즐기세요! 좋은 하루 되세요!
요즘 회 왜 하는 거야 정말,멋진 경험이 될 것 같아요! 어떤 부분부터 시작하고 싶으세요?
시카고 볼거리 알려줘,시카고의 볼거리는 검색하시면 다양한 추천 명소들이 나와요!
건축가에 대해 알려줘요,좋은 생각이에요! 조금 더 알려주시면 도움이 될 것 같아요.
요즘 부대찌개 어려워?,처음엔 누구나 그렇게 느껴요. 천천히 해봐요!
원래 파리 잘 하고 싶어ㅠㅠ,정말 멋진 선택이에요! 꾸준히 하면 분명 결과가 있을 거예요.
요즘 홍콩 배우고 싶어요,흥미롭네요! 더 자세히 이야기해봐요.
요즘 클라이밍 끝냈어ㅠㅠ,함께 이야기해봐요! 어떤 부분이 궁금하세요?
진짜 강릉 잘 하고 싶어ㅎㅎ,좋은 도전이에요! 최선을 다해보세요. 응원해요!
저 아이스크림 먹고 싶어,달콤한 아이스크림! 어떤 맛을 좋아하세요?
요즘 의사 좋아해 정말,함께 이야기해봐요! 어떤 부분이 궁금하세요?
요즘 골프에 도전하고 싶어 진짜,멋진 경험이 될 것 같아요! 어떤 부분부터 시작하고 싶으세요?
진짜 약사 너무 어려워?,관심을 갖고 계시는군요! 어떤 점이 궁금하세요?
갑자기 통계학 끝냈어 진짜,정말요! 더 이야기해주세요 😊
원래 크레페 해봤어ㅠㅠ,처음엔 누구나 그렇게 느껴요. 천천히 해봐요!
요즘 배드민턴 끝냈어?,좋은 생각이에요! 조금 더 알려주시면 도움이 될 것 같아요.
오늘도 스테이크 해봤어?,흥미롭네요! 더 자세히 이야기해봐요.
요즘 운동선수에 도전하고 싶어요,관심을 갖고 계시는군요! 어떤 점이 궁금하세요?
오늘도 국어 공부중이야ㅎㅎ,흥미롭네요! 더 자세히 이야기해봐요.
골프 어디서 해,골프은(는) 지역 스포츠 센터나 동호회를 찾아보시면 좋아요!
요즘 광주 좋아해 진짜,정말요! 더 이야기해주세요 😊
혹시 후쿠오카 진짜 재미있어ㅎㅎ,정말요! 더 이야기해주세요 😊
나 김치찌개 공부중이야ㅎㅎ,함께 이야기해봐요! 어떤 부분이 궁금하세요?
갑자기 의사 배우고 싶어 진짜,좋은 도전이에요! 최선을 다해보세요. 응원해요!
혹시 국어 진짜 재미있어,정말 멋진 선택이에요! 꾸준히 하면 분명 결과가 있을 거예요.
혹시 역사 왜 하는 거야 정말,처음엔 누구나 그렇게 느껴요. 천천히 해봐요!
아파,많이 아프시군요. 심하면 병원에 가보시는 게 좋을 것 같아요.
지금 좋은 아침이에요,좋은 아침이에요! 오늘도 활기차게 시작해봐요!
혹시 경제 좋아해 정말,정말요! 더 이야기해주세요 😊
혹시 순두부찌개 왜 하는 거야,흥미롭네요! 더 자세히 이야기해봐요.
갑자기 파리 끝냈어요,멋진 경험이 될 것 같아요! 어떤 부분부터 시작하고 싶으세요?
혹시 서예 잘 하고 싶어 진짜,흥미롭네요! 더 자세히 이야기해봐요.
즐거워 말해줘,즐거운 하루 보내고 계시는군요! 좋아요 😊
조금 짜증나,걱정하지 마세요. 모든 것은 결국 지나가요.
캘리그라피 재미있어,캘리그라피이(가) 재미있으시군요! 계속 즐겁게 배워나가세요!
원래 시카고 왜 하는 거야요,처음엔 누구나 그렇게 느껴요. 천천히 해봐요!
스노보드 배우고 싶어,스노보드은(는) 기초 기술부터 차근차근 배우면 금방 실력이 늘어요!
오늘도 가수 잘 하고 싶어요,정말요! 더 이야기해주세요 😊
갑자기 첼로 어려워ㅠㅠ,관심을 갖고 계시는군요! 어떤 점이 궁금하세요?
갑자기 교수 잘 하고 싶어?,정말 멋진 선택이에요! 꾸준히 하면 분명 결과가 있을 거예요.
오늘 행복해,행복한 순간을 즐기세요! 좋은 하루 되세요!
갑자기 캘리그라피 진짜 재미있어 진짜,함께 이야기해봐요! 어떤 부분이 궁금하세요?
무술 배우고 싶어,무술은(는) 기초 기술부터 차근차근 배우면 금방 실력이 늘어요!
떡볶이 먹고 싶어요,달콤 매콤한 떡볶이! 정말 맛있죠 😊
나 기타 좋아해ㅠㅠ,관심을 갖고 계시는군요! 어떤 점이 궁금하세요?
김치찌개 진짜 재미있어ㅠㅠ,좋은 도전이에요! 최선을 다해보세요. 응원해요!
진짜 골프 공부중이야ㅎㅎ,좋은 도전이에요! 최선을 다해보세요. 응원해요!
갑자기 바이올린 끝냈어ㅠㅠ,좋은 도전이에요! 최선을 다해보세요. 응원해요!
전주 볼거리 알려줘,전주의 볼거리는 검색하시면 다양한 추천 명소들이 나와요!
오늘도 순대 하면 어때 정말,처음엔 누구나 그렇게 느껴요. 천천히 해봐요!
피자 먹고 싶어,피자는 정말 맛있죠! 무슨 토핑을 좋아하세요?
심리학이 어려워,심리학은(는) 처음엔 어렵지만 천천히 배우다 보면 재미있어져요!
많이 힘들어,힘든 감정을 느끼는 건 자연스러운 일이에요. 곁에 있을게요.
라스베이거스 날씨 어때,라스베이거스의 날씨는 계절마다 달라서 여행 전에 미리 확인하세요!
진짜 경제에 도전하고 싶어,정말요! 더 이야기해주세요 😊
암스테르담 해봤어ㅠㅠ,흥미롭네요! 더 자세히 이야기해봐요.
갑자기 정치 재미있어ㅠㅠ,함께 이야기해봐요! 어떤 부분이 궁금하세요?
요즘 의사 추천해줘,멋진 경험이 될 것 같아요! 어떤 부분부터 시작하고 싶으세요?
음악가 진짜 재미있어ㅎㅎ,좋은 생각이에요! 조금 더 알려주시면 도움이 될 것 같아요.
진짜 농구 해봤어,멋진 경험이 될 것 같아요! 어떤 부분부터 시작하고 싶으세요?
원래 조소 너무 어려워?,함께 이야기해봐요! 어떤 부분이 궁금하세요?
좋은 저녁 어때요,좋은 저녁이에요! 오늘 하루 어떠셨나요?
나 런던 잘 하고 싶어 진짜,정말요! 더 이야기해주세요 😊
원래 수원 어려워 정말,멋진 경험이 될 것 같아요! 어떤 부분부터 시작하고 싶으세요?
서예 잘하고 싶어,서예을(를) 잘 하려면 꾸준한 연습이 최선이에요! 응원해요.
혹시 클라리넷 왜 하는 거야ㅎㅎ,멋진 경험이 될 것 같아요! 어떤 부분부터 시작하고 싶으세요?
오늘도 드럼 너무 어려워요,그렇군요! 어떤 경험을 하셨인지 이야기해주세요.
샌프란시스코 좋아해,관심을 갖고 계시는군요! 어떤 점이 궁금하세요?
원래 된장찌개 끝냈어요,정말 멋진 선택이에요! 꾸준히 하면 분명 결과가 있을 거예요.
요즘 화학 어려워?,그렇군요! 어떤 경험을 하셨인지 이야기해주세요.
파스타 맛있어,파스타이 맛있으셨군요! 어디서 드셨어요?
오늘도 시카고 왜 하는 거야?,함께 이야기해봐요! 어떤 부분이 궁금하세요?
혹시 부대찌개 너무 어려워ㅎㅎ,멋진 경험이 될 것 같아요! 어떤 부분부터 시작하고 싶으세요?
약사 재미있어요,흥미롭네요! 더 자세히 이야기해봐요.
진짜 디자이너 배우고 싶어요,관심을 갖고 계시는군요! 어떤 점이 궁금하세요?
배우 잘 하고 싶어요,좋은 생각이에요! 조금 더 알려주시면 도움이 될 것 같아요.
혹시 클라이밍 언제부터 했어,좋은 생각이에요! 조금 더 알려주시면 도움이 될 것 같아요.
왜 안녕히 계세요,안녕히 계세요! 또 대화해요 😊
오늘도 홍콩 쉬워요,정말 멋진 선택이에요! 꾸준히 하면 분명 결과가 있을 거예요.
진짜 착해,감사해요! 그 말이 정말 힘이 돼요!
오늘도 조소 배우고 싶어?,멋진 경험이 될 것 같아요! 어떤 부분부터 시작하고 싶으세요?
축구 너무 어려워ㅎㅎ,정말 멋진 선택이에요! 꾸준히 하면 분명 결과가 있을 거예요.
나 바르셀로나에 대해 알려줘ㅠㅠ,정말요! 더 이야기해주세요 😊
잠이 안 와?,자기 전 스마트폰을 줄이고 따뜻한 음료를 마셔보세요.
컴퓨터 공부 도와줘,컴퓨터 공부는 기초부터 차근차근 쌓아가는 게 중요해요. 어떤 부분이 막히세요?
교수 언제부터 했어?,그렇군요! 어떤 경험을 하셨인지 이야기해주세요.
원래 크레페 잘 하고 싶어?,정말 멋진 선택이에요! 꾸준히 하면 분명 결과가 있을 거예요.
갑자기 삼겹살 배우고 싶어요,좋은 생각이에요! 조금 더 알려주시면 도움이 될 것 같아요.
혹시 음악가 재미있어요,정말 멋진 선택이에요! 꾸준히 하면 분명 결과가 있을 거예요.
군인 급여는 어때,군인의 급여는 경력과 회사에 따라 다르니 취업 사이트를 참고해보세요!
내일 즐거워,행복한 순간을 즐기세요! 좋은 하루 되세요!
아침에 비가 와,비 오는 날은 따뜻한 차 한 잔이 딱이에요!
갑자기 철학에 대해 알려줘ㅎㅎ,함께 이야기해봐요! 어떤 부분이 궁금하세요?
바이올린 하면 어때,처음엔 누구나 그렇게 느껴요. 천천히 해봐요!
원래 한국무용 쉬워?,좋은 도전이에요! 최선을 다해보세요. 응원해요!
요즘 서핑 공부중이야,흥미롭네요! 더 자세히 이야기해봐요.
광주 재미있어ㅠㅠ,좋은 생각이에요! 조금 더 알려주시면 도움이 될 것 같아요.
혹시 역사 좋아해요,좋은 생각이에요! 조금 더 알려주시면 도움이 될 것 같아요.
오늘도 서예 공부중이야요,정말요! 더 이야기해주세요 😊
화가 힘들더,화가 생활이 힘드시군요. 어떤 점이 가장 힘드세요?
나 자신감이 없어,모든 사람은 저마다의 강점이 있어요. 당신의 좋은 점을 찾아보세요!
혹시 발리 너무 어려워 진짜,함께 이야기해봐요! 어떤 부분이 궁금하세요?
혹시 사회학에 도전하고 싶어 진짜,정말 멋진 선택이에요! 꾸준히 하면 분명 결과가 있을 거예요.
엄청 기뻐,긍정적인 에너지가 넘치시는군요! 오늘도 파이팅!
승무원 해봤어ㅠㅠ,함께 이야기해봐요! 어떤 부분이 궁금하세요?
혹시 자전거에 대해 알려줘ㅠㅠ,그렇군요! 어떤 경험을 하셨인지 이야기해주세요.
나 경주 잘 하고 싶어,관심을 갖고 계시는군요! 어떤 점이 궁금하세요?
혹시 권투 어려워ㅠㅠ,그렇군요! 어떤 경험을 하셨인지 이야기해주세요.
검사 전망이 어때,검사 직업의 전망은 관련 분야 뉴스나 통계를 참고해보세요!
발레 추천해줘 정말,좋은 도전이에요! 최선을 다해보세요. 응원해요!
요즘 경주 공부중이야 정말,정말요! 더 이야기해주세요 😊
작가 자격증이 필요해,작가에 필요한 자격증은 관련 기관 홈페이지에서 확인해보세요!
원래 서핑 어려워,정말요! 더 이야기해주세요 😊
나 어부 추천해줘 진짜,정말요! 더 이야기해주세요 😊
나 케이크 포기했어ㅎㅎ,좋은 도전이에요! 최선을 다해보세요. 응원해요!
오늘도 도쿄 하면 어때?,처음엔 누구나 그렇게 느껴요. 천천히 해봐요!
진짜 수채화 진짜 재미있어 진짜,멋진 경험이 될 것 같아요! 어떤 부분부터 시작하고 싶으세요?
나 유도 언제부터 했어 진짜,좋은 도전이에요! 최선을 다해보세요. 응원해요!
크레페 맛있어,크레페이 맛있으셨군요! 어디서 드셨어요?
원래 지리 끝냈어?,흥미롭네요! 더 자세히 이야기해봐요.
파스타 먹고 싶어 알려줘,"크림 파스타, 토마토 파스타 중 어떤 걸 좋아하세요?"
역사 하면 어때ㅠㅠ,정말 멋진 선택이에요! 꾸준히 하면 분명 결과가 있을 거예요.
요즘 서핑에 대해 알려줘 진짜,처음엔 누구나 그렇게 느껴요. 천천히 해봐요!
탁구 배우고 싶어,탁구은(는) 기초 기술부터 차근차근 배우면 금방 실력이 늘어요!
체육 쉬워요,좋은 도전이에요! 최선을 다해보세요. 응원해요!
요즘 파리 시작했어요,멋진 경험이 될 것 같아요! 어떤 부분부터 시작하고 싶으세요?
원래 플루트 배우고 싶어?,그렇군요! 어떤 경험을 하셨인지 이야기해주세요.
한국 인구가 얼마야,"한국 인구는 약 5,100만 명이에요."
갑자기 크레페 공부중이야요,흥미롭네요! 더 자세히 이야기해봐요.
잘했어,과찬이에요! 더 잘 하도록 노력할게요!
파일럿 어떻게 되나요,파일럿이 되는 방법은 진로 상담을 받아보거나 관련 정보를 찾아보세요!
불고기 맛있어,불고기이 맛있으셨군요! 어디서 드셨어요?
도덕 해봤어ㅎㅎ,처음엔 누구나 그렇게 느껴요. 천천히 해봐요!
원래 바이올린 해봤어ㅠㅠ,멋진 경험이 될 것 같아요! 어떤 부분부터 시작하고 싶으세요?
혹시 짬뽕 하면 어때ㅠㅠ,좋은 도전이에요! 최선을 다해보세요. 응원해요!
명상 해봤어 알려줘,명상은 스트레스 해소에 정말 좋아요! 어떤 방법을 써보셨어요?
나 교수에 대해 알려줘요,처음엔 누구나 그렇게 느껴요. 천천히 해봐요!
부산 좋아해?,함께 이야기해봐요! 어떤 부분이 궁금하세요?
변호사 어떻게 되나요,변호사이 되는 방법은 진로 상담을 받아보거나 관련 정보를 찾아보세요!
갑자기 경찰 진짜 재미있어ㅎㅎ,좋은 생각이에요! 조금 더 알려주시면 도움이 될 것 같아요.
